Location County ID,Location County Name,1-Oct,Quarter 1,Quarter 2,Quarter 3,Quarter 4
01,ARKANSAS,41,44,45,47,43
02,ASHLEY,105,108,99,102,103
03,BAXTER,118,135,151,175,155
04,BENTON,1149,1164,1306,1361,1354
05,BOONE,323,333,322,327,328
06,BRADLEY,20,19,19,19,22
07,CALHOUN,82,82,84,86,92
08,CARROLL,360,361,368,366,373
09,CHICOT,4,4,23,20,20
10,CLARK,28,24,31,30,31
11,CLAY,69,76,74,73,72
12,CLEBURNE,240,249,285,278,270
13,CLEVELAND,22,24,24,22,23
14,COLUMBIA,30,36,38,35,38
15,CONWAY,587,587,569,562,559
16,CRAIGHEAD,307,330,322,330,332
17,CRAWFORD,412,414,454,455,463
18,CRITTENDEN,76,116,123,154,159
19,CROSS,163,159,157,158,142
20,DALLAS,0,0,1,1,1
21,DESHA,32,31,32,34,34
22,DREW,105,99,110,113,113
23,FAULKNER,848,820,843,846,833
24,FRANKLIN,142,138,141,139,129
25,FULTON,109,108,112,116,118
26,GARLAND,483,516,531,561,570
27,GRANT,58,59,65,67,72
28,GREENE,346,356,387,381,376
29,HEMPSTEAD,276,236,251,254,257
30,HOT SPRING,195,200,214,227,232
31,HOWARD,93,95,105,102,99
32,INDEPENDENCE,235,241,281,300,301
33,IZARD,87,88,86,89,89
34,JACKSON,99,94,103,105,106
35,JEFFERSON,310,309,340,338,343
36,JOHNSON,220,220,227,235,238
37,LAFAYETTE,25,21,19,20,19
38,LAWRENCE,167,171,162,166,161
39,LEE,40,45,48,48,50
40,LINCOLN,453,456,455,461,449
41,LITTLE RIVER,61,60,57,59,64
42,LOGAN,301,303,291,245,247
43,LONOKE,193,205,239,259,264
44,MADISON,100,99,99,97,97
45,MARION,138,135,134,138,137
46,MILLER,92,102,126,156,163
47,MISSISSIPPI,324,326,346,324,322
48,MONROE,82,93,81,86,86
49,MONTGOMERY,67,64,66,70,68
50,NEVADA,135,135,138,139,141
51,NEWTON,140,134,140,139,143
52,OUACHITA,69,72,71,72,76
53,PERRY,116,117,128,125,121
54,PHILLIPS,49,54,60,57,58
55,PIKE,97,97,90,89,92
56,POINSETT,220,223,213,252,243
57,POLK,40,42,50,46,49
58,POPE,557,603,626,632,634
59,PRAIRIE,77,75,78,78,81
60,PULASKI,1011,1095,1219,1267,1291
61,RANDOLPH,285,301,299,302,298
63,SALINE,93,118,151,173,183
64,SCOTT,101,100,102,105,112
65,SEARCY,36,38,48,50,51
66,SEBASTIAN,382,405,459,479,480
67,SEVIER,193,203,207,211,209
68,SHARP,121,124,131,128,124
62,ST FRANCIS,65,73,76,72,68
69,STONE,3,3,3,2,3
70,UNION,289,290,293,293,296
71,VAN BUREN,322,319,309,309,310
72,WASHINGTON,1117,1205,1311,1344,1363
73,WHITE,355,358,359,368,365
74,WOODRUFF,82,79,111,116,119
75,YELL,252,258,255,250,247
