County,FIPS,Value (Percent),People (Below Poverty),Rank within US (of 3143 counties)
Arkansas,5000,16,471783,46 of 52
United States,0,12.4,40390045,N/A
Desha County,5041,28.9,3164,"3,069"
Phillips County,5107,28.7,4534,"3,065"
Nevada County,5099,28.5,2298,"3,060"
St. Francis County,5123,27.8,5503,"3,052"
Lee County,5077,27.7,1926,"3,049"
Lafayette County,5073,27.2,1658,"3,030"
Searcy County,5129,24.5,1896,"2,959"
Chicot County,5017,24.4,2264,"2,954"
Woodruff County,5147,22.8,1361,"2,886"
Ashley County,5003,22.7,4215,"2,877"
Columbia County,5027,22.7,4642,"2,877"
Drew County,5043,22.7,3720,"2,877"
Monroe County,5095,22.2,1452,"2,841"
Stone County,5137,21.6,2665,"2,793"
Jackson County,5067,21.2,3044,"2,764"
Izard County,5065,21.1,2692,"2,753"
Randolph County,5121,21.1,3879,"2,753"
Miller County,5091,21,8694,"2,745"
Mississippi County,5093,21,8150,"2,745"
Montgomery County,5097,20.8,1762,"2,723"
Crittenden County,5035,20.7,9684,"2,716"
Conway County,5029,20.6,4261,"2,709"
Jefferson County,5069,20.6,12300,"2,709"
Clark County,5019,20.2,3810,"2,669"
Bradley County,5011,20.1,2057,"2,660"
Cross County,5037,20.1,3314,"2,660"
Poinsett County,5111,20.1,4466,"2,660"
Howard County,5061,19.8,2477,"2,642"
Independence County,5063,19.6,7287,"2,627"
Sevier County,5133,19.6,3049,"2,627"
Van Buren County,5141,19.5,3069,"2,619"
Johnson County,5071,19.4,4874,"2,608"
Union County,5139,19.4,7327,"2,608"
Craighead County,5031,19.1,20670,"2,580"
Hempstead County,5057,19,3702,"2,568"
Polk County,5113,19,3611,"2,568"
Franklin County,5047,18.9,3197,"2,552"
Pike County,5109,18.8,1871,"2,536"
Lawrence County,5075,18.2,2854,"2,463"
Ouachita County,5103,17.9,3913,"2,418"
Marion County,5089,17.8,3008,"2,405"
Lincoln County,5079,17.7,1512,"2,385"
Pope County,5115,17.6,10633,"2,369"
Sharp County,5135,17.3,2997,"2,327"
Clay County,5021,17.2,2449,"2,305"
Scott County,5127,17.2,1678,"2,305"
Hot Spring County,5059,17.1,5264,"2,293"
Greene County,5055,17,7657,"2,275"
Crawford County,5033,16.8,9998,"2,236"
Garland County,5051,16.5,16237,"2,195"
Little River County,5081,16.5,1927,"2,195"
White County,5145,16.4,12190,"2,175"
Carroll County,5015,16.3,4586,"2,150"
Sebastian County,5131,16.3,20559,"2,150"
Pulaski County,5119,16.2,63472,"2,140"
Cleveland County,5025,15.6,1153,"2,050"
Perry County,5105,15.6,1558,"2,050"
Faulkner County,5045,15,18099,"1,944"
Madison County,5087,15,2529,"1,944"
Fulton County,5049,14.8,1782,"1,910"
Washington County,5143,14.8,35887,"1,910"
Arkansas County,5001,14.7,2425,"1,887"
Baxter County,5005,14.5,6029,"1,844"
Logan County,5083,14.4,3009,"1,824"
Cleburne County,5023,13.8,3415,"1,681"
Boone County,5009,13.4,5018,"1,600"
Calhoun County,5013,13.3,601,"1,574"
Newton County,5101,13.3,945,"1,574"
Yell County,5149,13.3,2621,"1,574"
Grant County,5053,12.3,2205,"1,323"
Dallas County,5039,11.2,675,"1,065"
Lonoke County,5085,11.1,8232,"1,036"
Prairie County,5117,9.4,739,645
Saline County,5125,9.1,11244,581
Benton County,5007,7.6,22138,290
